,Unnamed: 0.1,Unnamed: 0,file_name,key,duration,npvi,note_density,pc_dist1,pitch_range,genre,contains_mono,mono_chn,pc_dist2,iv_dist1,ivsize_dist1,ivdir_dist1,iv_dist2,complexity,originality,gradus
0,0,0,001.mid,F#,192.218963895834,56.9668577659129,5.77539113882914,[0 0.229375562444638 0 0.0977554704490494 0 0.0784408644546555 0.258356152017304 0 0.0944595045697028 0 0.148857338366864 0.0927551076977574],48,pop,1.0,1.0,[0 0 0 0 0 0 0 0 0 0 0 0;0 0.00310336668250194 0 0.0175993311708616 0 0 0.0537448152334206 0 0.00532176396387782 0 0.14550451675401 0.00482237823522274;0 0 0 0 0 0 0 0 0 0 0 0;0 0.119597511910947 0 0 0 0 0.00237156701581158 0 0.0936621212906206 0 0 0;0 0 0 0 0 0 0 0 0 0 0 0;0 0.00670075611342708 0 0 0 0 0.0139825105145281 0 0 0 0 0;0 0.0348252215530942 0 0.0596986480356124 0 0 0.0397595889723404 0 0.0114689041331989 0 0 0;0 0 0 0 0 0 0 0 0 0 0 0;0 0.0139682175689009 0 0.000142188574004712 0 0.00996746308725986 0.0877189614845205 0 0.0902917833136371 0 0.0458301147295201 0;0 0 0 0 0 0 0 0 0 0 0 0;0 0.067441522303005 0 0 0 0 0.0316174807500864 0 0.0380710464792574 0 0 0;0 0 0 0 0 0 0 0 0.00278822009749128 0 0 0],[0.0146761364322013 0 0 0.0491096921643334 0 0.0189539756237333 0 0.0683666469014754 0.0382413494931563 0.068619574608179 0.238296519015935 0 0.0665113791228874 0.00945992226094411 0.208669578200363 0.0388349156598623 0 0.114864114154209 0 0.0176222229344905 0.00840060240835113 0.0326227561370579 0 0 0.00675061488246025],[0.0665113791228874 0.00945992226094411 0.446966097216298 0.107454490268041 0.0382413494931563 0.183230761055685 0 0.0365761985582238 0.00840060240835113 0.0817324483013913 0 0 0.0214267513146616],[1 -0.0662845370154206 -0.277183939675484 -1 0.253764526135452 0 -0.0364103636172813 1 -0.201718367305961 0 0 -0.369889090200899],[0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0;0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0;0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0;0 0 0 0 0 0 0 0 0 0 0 0 0.0034632858161602 0 0.00731924672859752 0 0 0.00680130244783002 0 0 0 0 0 0 0;0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0;0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.00438633873463265 0 0 0 0 0;0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0;0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.039776191175649 0 0 0 0 0.000816219570025224 0 0 0 0 0;0 0 0 0 0 0 0 0 0 0.0187444916158368 0 0 0 0 0.00932353860932765 0 0 0.0296278270112192 0 0.00245535432667725 0 0.00458169086498789 0 0 0;0 0 0 0 0 0 0 0 0.0082221229850323 0 0 0 0 0.00910743644808399 0 0.0247411918250931 0 0.0560097248582941 0 0 0 0 0 0 0;0 0 0 0 0 0 0 0.0378262398096736 0 0.0327128042747782 0.0621015186079143 0 0.026711152730157 0 0.00912355130268717 0 0 0.0116893719867162 0 0.00930768930732428 0 0.0152047413287224 0 0 0;0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0;0 0 0 0 0 0 0 0 0 0.00977075400965327 0.00273890120422696 0 0 0 0.0276077302836834 0 0 0.00122708727221265 0 0 0 0.0116207686356489 0 0 0;0 0 0 0 0 0 0 0.00815118601709506 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0;0 0 0 0.0438495711078998 0 0 0 0 0.0358527955735592 0.00192301204064438 0.108640261194851 0 0.0147055483585305 0 0.071712615297118 0.0126466974812615 0 0 0 0 0.00808758787326903 0 0 0 0;0 0 0 0 0 0 0 0.00104621783546169 0 0.00291168124025365 0 0 0.00341759801735414 0 0.00779301416960156 0 0 0.00522885307633245 0 0 0 0 0 0 0;0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0;0 0 0 0 0 0.0182477322402919 0 0.0269467821592355 0 0 0 0 0.0363638860953589 0 0.0104944695307768 0 0 0 0 0 0 0 0 0 0;0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0;0 0 0 0.00343024663628932 0 0 0 0 0 0 0.0368096179021016 0 0 0 0.0126539638316129 0 0 0 0 0 0 0 0 0 0;0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.00153040861667416 0 0 0 0 0 0 0 0 0 0;0 0 0 0 0 0 0 0 0 0 0.0409783606920838 0 0 0 0.00355961923284586 0 0 0 0 0 0 0 0 0 0;0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0;0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0;0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0],5.88702246951159,9.1922922875817,6.86601307189542
1,1,1,002.mid,B,226.790866464583,59.863022640663,6.40587779467899,[0 0.153537108517123 0 0.151759045333808 0.11814657267713 0 0.206515980278728 0 0.117132932705701 0 0.0751160077293666 0.177792352758121],58,pop,,,,,,,,,,
2,2,2,003.mid,A#,225.7053864125,57.5581966973305,6.03796544171331,[0.0969204098624932 0 0.177528372576908 0.0988549299168437 3.11840449101702e-05 0.135804983300251 0 0.155546752104193 0 0.1048552532326 0.230458114961775 0],48,pop,1.0,1.0,[0.00502165651286397 0 0.0234266254181425 0 0 0.0500807015292522 0 0 0 0.0420084183753479 0.0209714924447129 0;0 0 0 0 0 0 0 0 0 0 0 0;0.033983773259899 0 0.0488104052652523 0.0110668221609421 0 0.0148905990227664 0 0.00944838490418887 0 0 0.0157760599678437 0;0 0 0.00195571672116722 0 0 0.0350851775890637 0 0 0 0 0 0;0 0 0 0 0 0 0 0 0 0 0 0;0.0260932576331978 0 0.00962581889362013 0 0 0.103503360781298 0 0.0058883052575989 0 0.000301281013238539 0.0419115667782284 0;0 0 0 0 0 0 0 0 0 0 0 0;0.00257744943685248 0 0.0153791836886563 0 0 0.0255312024903645 0 0 0 0.00303115959626888 0.057265308625995 0;0 0 0 0 0 0 0 0 0 0 0 0;0.0222365029631369 0 0 0 0 0.0101302574671772 0 0.0465326680261607 0 0 0.0390267485316602 0;0.0249409033107497 0 0.0388027508051652 0.00410609206754215 0 0.027700004527574 0 0.0627639223713684 0 0.0240890589246527 0.0960373636295169 0;0 0 0 0 0 0 0 0 0 0 0 0],[0 0 0.00743672145213532 0 0.00261396059465336 0.0374776098282976 0 0.0454068859502192 0.0364926537711072 0.139104150551901 0.125947728346434 0.0335809693226512 0.148720328377412 0.0610203242344817 0.0909404678040357 0.121936457177075 0.0461233159801216 0.0518605871804836 0 0.0263218174354678 0 0.0250160219933418 0 0 0],[0.148720328377412 0.0946012935571329 0.21688819615047 0.261040607728975 0.0826159697512288 0.0972674731307028 0 0.0637994272637654 0.00261396059465336 0.0250160219933418 0.00743672145213532 0 0],[0.290052639663526 -0.161406942211423 -0.0657663706968161 0.116571435740741 0.0663500451131517 0 -0.174857249841892 -1 1 -1 0 0],[0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0;0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0;0 0 0 0 0 0 0 0 0 0 0.000835901410938246 0 0 0 0 0 0 0 0 0 0 0 0 0 0;0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0;0 0 0 0 0 0 0 0 0 0 0 0 0 0.00472211980161348 0 0 0 0 0 0 0 0 0 0 0;0 0 0 0 0 0 0 0 0 0 0 0.00121278587194969 0.0319368014998519 0 0 0 0 0.00369732184112798 0 0.0142410768733478 0 0 0 0 0;0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0;0 0 0 0 0 0 0 0.00221118068954634 0 0.00434980736319331 0.00730878667146113 0 0 0 0.00168250026662785 0 0.00106597183896741 0.0147045044692155 0 0 0 0.00215105453466574 0 0 0;0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.00284922647582549 0 0.0267585002760184 0 0 0.0062949603767524 0 0.000650100960759826 0 0 0;0 0 0 0 0 0 0 0 0.00677363104080789 0 0.0236147627733901 0 0 0.0193960699673829 0 0.096673060994116 0 0 0 0 0 0 0 0 0;0 0 0 0 0 0 0 0 0 0.0235028116709844 0.0088898820817141 0.00427362245172908 0.0262573711778649 0 0.019659513928667 0.00844880162841215 0 0.0175046101617621 0 0.00571939992961291 0 0 0 0 0;0 0 0 0 0 0 0 0 0.00149075580863848 0 0.0413624024911114 0 0 0.0109418262838915 0 0.00346372268065044 0 0 0 0 0 0 0 0 0;0 0 0 0 0.00260736852048405 0.00979148450924496 0 0.00624385806010904 0.00187954426861429 0.00839139449964339 0.00363264623808236 0.0025518876558265 0.0372408529483545 0.0021319202608525 0 0 0.00867352764425244 0.0120289845775133 0 0 0 0.0122269663608403 0 0 0;0 0 0.0074179669921449 0 0 0 0 0.00806325152411862 0 0.0333365645927264 0 0.0183957982476663 0 0 0.0204971553013279 0 0.00482984811652098 0 0 0 0 0 0 0 0;0 0 0 0 0 0.0100875357170602 0 0 0.00556233200682992 0.0136835976172384 0.027170849396826 0 0.00478740448838595 0.0166117529813168 0.0304775880930273 0.0130433637303921 0 0 0 0.00252187204787256 0 0.00992481293035267 0 0 0;0 0 0 0 0 0 0 0.0150798514259948 0 0.0523632679467502 0.00310679699065561 0.00706218818745776 0.0148448127626661 0 0.0119852086268405 0 0.00467915100283554 0.00379438036544155 0 0 0 0 0 0 0;0 0 0 0 0 0 0 0 0.0180982294164226 0 0.00343685740085257 0 0.0173671669879809 0.0016733668250927 0 0 0 0 0 0 0 0 0 0 0;0 0 0 0 0 0 0 0.0136942338937933 0 0.00312590399173713 0 0 0.0159108648725733 0 0.00355993488754712 0 0 0 0 0 0 0 0 0 0;0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0;0 0 0 0 0 0.0125530761064567 0 0 0.00177789883952008 0 0.00627121883524297 0 0 0.0053893826640263 0 0 0 0 0 0 0 0 0 0 0;0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0;0 0 0 0 0 0.00495099975872508 0 0 0.000818232586616598 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0;0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0;0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0;0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0],5.80712519578343,8.46498969529086,7.14127423822715
3,3,3,004.mid,a#,196.9150371,61.5962403926366,4.39764252395184,[0.0147130609518647 0.112501002076981 0.0193551376130285 0.150430935890769 0 0.134060776929509 0.108195411291346 0.0097959922121865 0.12628352210348 0 0.242862319169558 0.0818018417612533],42,pop,,,,,,,,,,
4,4,4,005.mid,G,278.548866160417,62.1128895562727,5.38645418326693,[0.092907540576893 0.0178913832549862 0.184014984350026 0.0312399479680043 0.145858246411552 0.0044516771933884 0.0808147281608946 0.151754672929342 0.0107337616949921 0.163312846969177 0.00456086573812043 0.112459344752608],58,pop,,,,,,,,,,
5,5,5,006.mid,c,223.380224118746,44.5833942433523,6.51168224299065,[0.173754321102284 0 0.119865106530092 0.173453781519024 0 0.114504849985661 0.000278855434080378 0.181490657252117 0.0866894811115681 0 0.149458913190662 0.000504033874488286],48,pop,,,,,,,,,,
6,6,6,007.mid,b,209.350405104167,55.9962707526538,4.10725248155949,[0 0.0507303015775203 0.109536750398098 0 0.133132754073643 0 0.268172242917423 0.057929473587569 0 0.0647351810632246 0.0186684645653542 0.29709483181714],41,pop,,,,,,,,,,
7,7,7,008.mid,D#,257.547415427084,56.2803077000102,6.36838824150002,[0.142676709202347 0 0.0936121444844713 0.172218748412895 0 0.170819508851118 0 0.144562038589718 0.0892515922808581 0 0.186859258178571 0],67,pop,,,,,,,,,,
8,8,8,009.mid,d#,201.2945450625,60.2597632838953,3.46645860173105,[0 0.112048464381474 0.0337594142792849 0.224902387712696 0 0.0820697530585324 0.104352621708952 0 0.20174194450081 0 0.185886911976211 0.0552385023820139],46,pop,,,,,,,,,,
9,9,9,010.mid,G,283.671193595833,57.2993499176118,4.96260108034153,[0.129644718535433 0.029765432919272 0.148191117213611 0.0388204158522329 0.124146022627461 0.0215105115970602 0.0733137023621562 0.162894411410438 0.0370061324984666 0.0977357921788338 0.0219347889760108 0.115036953829005],62,pop,,,,,,,,,,
10,10,10,011.mid,D#,323.6694188,65.1651573093523,5.87166397415186,[0.119427807757924 0 0.112056114984358 0.220235715510502 0 0.119358562101669 2.48240174010706e-05 0.132280838487886 0.107402648420401 0.005755803793164 0.183457684926679 0],48,pop,,,,,,,,,,
11,11,11,012.mid,D#,291.659285414585,62.6283591405609,6.89468174563677,[0.105072906671928 0.0307801196271924 0.0544871515123927 0.114014716513247 0.0492458629830452 0.111001920814841 0.0437758166050216 0.131468284303006 0.129685923585844 0.0318157609508795 0.147771460733437 0.0508800756991474],43,pop,,,,,,,,,,
12,12,12,013.mid,a,205.500829572917,60.9297143817041,7.37748620451329,[0.0979942265405264 0 0.141666715234718 0 0.213477744077238 0.0723021842970218 0 0.11350259291871 0.0205156548367133 0.222997891541788 0 0.11754299055326],46,pop,1.0,1.0,[0.0258093841007821 0 0.0160316733850213 0 0.0351170804000043 0.00901924313849563 0 0 0 0.0159218336607456 0 0.0299634956157721;0 0 0 0 0 0 0 0 0 0 0 0;0.012354647753611 0 0.0136586115724273 0 0.0452556849538964 0 0 0.00449399203561708 0 0 0 0.0452670756084534;0 0 0 0 0 0 0 0 0 0 0 0;0.00465347059357254 0 0.0183562699561048 0 0.131798825772435 0.000504464339199459 0 0.00384347768347777 0 0.0453034027669447 0 0.00373824821801747;0.000223113089944062 0 0 0 0.00872772528799117 0.00119424648483586 0 0 0 0 0 0;0 0 0 0 0 0 0 0 0 0 0 0;0.0109651686700218 0 0 0 0 0 0 0.0259132470594504 0 0.0757747245787325 0 0.00177946761693911;0 0 0 0 0 0 0 0 0 0 0 0;0.0893679884576442 0 0.0158267818355055 0 0 0.00848800943692232 0 0.00215115362319893 0 0.0319674459774775 0 0.0734608359579429;0 0 0 0 0 0 0 0 0 0 0 0;0.0254831834425777 0 0.00426036425526363 0 0.0240153524743819 0 0 0.0612939091087021 0 0.0705357296584068 0 0.00748067141943779],[0.0131578977524091 0 0 0.00855793483320482 0.0132928557734369 0.022910108474783 0 0.0077744708179764 0.0594773271702995 0.0580690860417725 0.16676204558903 0.0702115805708337 0.132858054477405 0.0479564425895141 0.223442679700259 0.070651644317966 0.0147485785668798 0.0622034329135254 0 0.00114518833682545 0 0 0 0 0.0267806720736302],[0.132858054477405 0.118168023160348 0.390204725289289 0.128720730359739 0.0742259057371793 0.0699779037315018 0 0.0240552968116084 0.0132928557734369 0.00855793483320482 0 0 0.0399385698260393],[-0.188334689758841 0.145258707641758 0.0977508303521021 -0.602602934368981 0.777802123144293 0 -0.904787012540804 -1 -1 0 0 0.341093193385689],[0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0;0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0;0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0;0 0 0 0 0 0 0 0 0 0 0 0.00235060654045565 0 0 0 0 0 0 0 0 0 0 0 0 0;0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.00506025724720448 0 0 0 0 0 0 0 0 0;0 0 0 0 0 0 0 0 0 0 0 0 0.00403460514995297 0 0.00106176153305594 0 0.00333241836591366 0 0 0 0 0 0 0 0;0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0;0 0 0 0 0 0 0 0 0 0 0.00112729426454874 0 0 0 0 0 0 0 0 0 0 0 0 0 0;0 0 0 0 0 0 0 0 0 0 0 0.0113924337078116 0.0121290425952723 0 0.0134658946504343 0 0 0.016658594149979 0 0 0 0 0 0 0;0 0 0 0 0 0 0 0 0 0 0.0119889413106695 0 0.0172805691533598 0 0.00191471120659549 0 0 0.0132197609232187 0 0 0 0 0 0 0;0 0 0 0 0 0 0 0 0 0.0279068374423412 0.0251750365565686 0.00292776911457378 0.0101920558408186 0 0.100847973570287 0.0586826552370659 0.0113156286103667 0.00487829352079548 0 0 0 0 0 0 0;0 0 0 0 0 0 0 0 0.00603470177694693 0 0.064373159514162 0 0 0.00192365169086281 0 0.00496516079704173 0 0 0 0 0 0 0 0 0;0 0 0 0 0 0 0 0 0.009475509073334 0 0.0296592601346492 0.00518812314667152 0.0553053935917885 0 0.0183919459937389 0.00146198414002241 0 0.00998268162352875 0 0.00113738232321438 0 0 0 0 0;0 0 0 0 0 0 0 0 0 0 0 0.0241571494152141 0.0135035323072526 0 0.0181903114134697 0 0 0 0 0 0 0 0 0 0;0 0 0 0.00849960088616532 0 0.0105493699510292 0 0.00772147724209681 0.0435616975687864 0.0137173110032543 0.0287590209741527 0 0.0359775791038908 0.0457059026204927 0.0544594342441798 0.00681635793279092 0 0.00139605361218471 0 0 0 0 0 0 0;0 0 0 0 0.0132022469104572 0.0122045750239744 0 0 0 0.0160491179205411 0 0.0183845251188197 0 0 0.00396493807513077 0 0 0 0 0 0 0 0 0 0;0 0 0 0 0 0 0 0 0 0 0.00169690333504919 0 0.0130682088116074 0 0 0 0 0 0 0 0 0 0 0 0;0 0 0 0 0 0 0 0 0 0 0.00284571970589923 0.00414198076903158 0.0101277941076441 0 0.0096226437297392 0 0 0.015644048220062 0 0 0 0 0 0 0;0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0;0 0 0 0 0 0 0 0 0 0 0 0.00119040549364054 0 0 0 0 0 0 0 0 0 0 0 0 0;0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0;0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0;0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0;0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0;0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0],5.27005985002266,6.57135184713376,7.46496815286624
13,13,13,014.mid,D#,186.176792999999,55.0550926585736,3.86995152059645,[0.144778171263981 0 0.113412954703034 0.204877638298468 0 0.0930995795756434 0 0.209305499377803 0.0822700847672613 0 0.132488867430509 0.0197672045832689],50,pop,,,,,,,,,,
